rider_name,rider_url,Omloop Nieuwsblad,Kuurne-Brussel-Kuurne,Samyn Classic,Strade Bianche,Nokere Koerse,Bredene Koksijde Classic,Milaan-Sanremo,Ronde van Brugge,E3 Saxo Classic,In Flanders Fields,Dwars door Vlaanderen,Ronde van Vlaanderen,Scheldeprijs,Parijs-Roubaix,Ronde van Limburg,Brabantse Pijl,Amstel Gold Race,Waalse Pijl,Luik-Bastenaken-Luik,races_count
ABMA Elmar,rider/elmar-abma,,,X,,,,,,,,,,,,,,,,,1/19
ABRAHAMSEN Jonas,rider/jonas-abrahamsen,X,X,,,,,X,,X,X,X,X,,X,,,,,,8/19
ACKERMANN Pascal,rider/pascal-ackermann,,X,,,X,X,,,,X,,,X,,X,,,,,6/19
ADRIÀ Roger,rider/roger-adria,X,X,,X,,,,,X,X,,,,,,,X,X,X,8/19
AERTS Toon,rider/toon-aerts,,,,,,,,,,,,X,,X,,X,X,,,4/19
AFFINI Edoardo,rider/edoardo-affini,X,,,,,,X,,X,X,X,X,,X,,,,,,7/19
AGNOLETTO Blake,rider/blake-agnoletto,,,X,,,X,,,,,,,,,,,,,,2/19
AGOSTINACCHIO Mattia,rider/mattia-agostinacchio,,,,,,,,,,,,,,,,X,,,,1/19
ALAPHILIPPE Julian,rider/julian-alaphilippe,,,,X,,,X,,,,,,,,,,X,X,,4/19
ALBANESE Vincenzo,rider/vincenzo-albanese,X,X,,X,,,,X,,,,,,,,,,,,4/19
ALLEGAERT Piet,rider/piet-allegaert,X,X,,,X,,,,,X,X,X,,,,,,,,6/19
ALLENO Clément,rider/clement-alleno,X,X,,,,,,,X,X,X,X,,,,,,,X,7/19
ANDRESEN Tobias Lund,rider/tobias-lund-andresen,X,X,,,,,X,,X,X,X,,,,,,,,,6/19
ANIOŁKOWSKI Stanisław,rider/stanislaw-aniolkowski,X,X,X,,X,X,,X,,,,X,X,X,X,,,,,10/19
APPEL Stijn,rider/stijn-appel,,,X,,,,,,,,,,,,X,X,,,,3/19
ARANBURU Alex,rider/alex-aranburu,,,,,,,X,,,,,,,,,,X,X,X,4/19
ARASHIRO Yukiya,rider/yukiya-arashiro,,,,,,,,,,,,,X,,,,,,,1/19
ARCHIBOLD Franklin,rider/franklin-archibold,,,,X,,,,,,,,,,,,,,,,1/19
ARMITT Hamish,rider/hamish-armitt,,,,,,,X,,,,,,,,,,,,,1/19
ARTZ Huub,rider/huub-artz,,,,,,,X,,,X,X,,,X,,X,X,,,6/19
ASGREEN Kasper,rider/kasper-asgreen,X,X,,,,,X,,,X,X,X,,X,,,,,,7/19
ASKEY Lewis,rider/lewis-askey,X,X,,,,,X,,,X,X,X,,X,,,,,,7/19
AUGÉ Ronan,rider/ronan-auge,,,,,X,,,,X,X,,,,X,X,,,,,5/19
AULAR Orluis,rider/orluis-aular,X,X,,,,,X,X,,X,X,X,,,,,,,,7/19
AVOINE Kévin,rider/kevin-avoine,,,X,,,,,,,,,,,,,,,,,1/19
AZPARREN Xabier Mikel,rider/xabier-mikel-azparren-irurzun,,,,X,,,X,,,,,,,,,X,X,X,X,6/19
BABOVICH Mikita,rider/mikita-babovich,,,,,,,,,,,,,,,X,,,,,1/19
BAGIOLI Andrea,rider/andrea-bagioli,,,,X,,,X,,,,,,,,,,,,,2/19
BAGUELIN Jocelyn,rider/jocelyn-baguelin,,,X,,,,,,,,,,,,,,,,,1/19
BAIS Mattia,rider/mattia-bais,,,,,,,X,,,,,,,,,,,,,1/19
BALLERINI Davide,rider/davide-ballerini,X,X,,,,,X,X,,X,X,X,,X,,,,,,8/19
BALMER Alexandre,rider/alexandre-balmer,,,,X,,,,,,,,,,,,,,,,1/19
